,glcode,name,iso,level,macroarea,lat,lon,from,family,country
0,gane1238,!Gã!ne,,language,Africa,-31.32,28.75,glot,Tuu,ZA
1,oung1238,!O!ung,oun,language,Africa,-15.3,14.35,glot,,
2,kwii1241,!Ui,,family,,,,glot,Tuu,
3,abda1238,'Abd Al-Kuri,,dialect,Africa,12.1959,52.2282,glot,Afro-Asiatic,YE
4,aden1242,'Aden,,dialect,Eurasia,,,glot,Afro-Asiatic,
5,alga1234,'Algaden,,dialect,Africa,,,glot,Afro-Asiatic,
6,area1240,'Are'are,alu,language,Papunesia,-9.20699,161.158,glot,Austronesian,SB
7,auhe1237,'Auhelawa,kud,language,Papunesia,-10.0959,151.002,glot,Austronesian,PG
8,bali1276,'Bali'ba,,dialect,Africa,,,glot,cent2225,
9,bule1242,'Bulengee,,dialect,Africa,,,glot,Atlantic-Congo,
10,doli1238,'Dolimi,,dialect,Africa,,,glot,Atlantic-Congo,
11,olee1239,'Ole,,dialect,Eurasia,,,glot,Sino-Tibetan,
12,anii1246,//Ani,hnh,language,Africa,-19.0966,22.9088,glot,Khoe–Kwadi,BW
13,gana1274,//Gana,gnk,language,Africa,-21.8555,22.2003,glot,Khoe–Kwadi,BW
14,xegw1238,//Xegwi,xeg,language,Africa,-26.3407,30.4028,glot,Tuu,ZA
15,qabe1238,/=Haba,,dialect,Africa,,,glot,Khoe–Kwadi,
16,kxau1242,/=Ungkue,gku,dialect,Africa,-29.4046,22.2901,glot,Tuu,ZA
17,gwii1239,/Gwi,gwj,language,Africa,-22.2708,21.9431,glot,Khoe–Kwadi,BW
18,xamm1241,/Xam,xam,language,Africa,-31.7612,20.1733,glot,Tuu,ZA
19,3adt1234,3Ad-Tekles,,dialect,Africa,,,glot,Afro-Asiatic,
20,aben1248,A'beng,,dialect,Eurasia,,,glot,Sino-Tibetan,
21,achi1255,A'chick,,dialect,Eurasia,,,glot,Sino-Tibetan,
22,aoua1234,A'ou,aou,language,Eurasia,26.8,105.85,glot,taik1256,CN
23,awee1241,A'we,,dialect,Eurasia,,,glot,Sino-Tibetan,
24,ahkk1235,AHK,,family,,,,glot,sout2845,
25,apam1237,AP-AM-AH,,family,,,,glot,quec1387,
26,aala1237,Aalawa,,dialect,Papunesia,,,glot,Austronesian,
27,aant1238,Aantantara,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
28,aari1239,Aari,aiw,language,Africa,5.95034,36.5721,glot,sout2845,ET
29,aari1238,Aari-Gayil,aiz,family,,,,glot,sout2845,
30,aari1240,Aariya,aay,language,Eurasia,,,glot,,
31,aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,glot,Afro-Asiatic,TZ
32,aasd1234,Aasdring,,dialect,Eurasia,,,glot,Indo-European,
33,aata1238,Aatasaara,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
34,abab1239,Ababda,,dialect,Africa,,,glot,Afro-Asiatic,
35,abab1240,Ababuan,,family,,,,glot,Atlantic-Congo,
36,abad1243,Abadani,,dialect,Eurasia,,,glot,Indo-European,
37,abad1242,Abadei,,dialect,Eurasia,,,glot,Indo-European,
38,abad1241,Abadi,kbt,language,Papunesia,-9.03389,146.992,glot,Austronesian,PG
39,abad1240,Abadzex,,dialect,Eurasia,,,glot,abkh1242,
40,abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665,glot,Nuclear Trans New Guinea,PG
41,abai1239,Abai,,dialect,Papunesia,,,glot,Austronesian,
42,abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306,glot,Austronesian,MY
43,abai1241,Abai Tubu-Abai Sembuak,,language,Papunesia,3.524226,116.162455,glot,Austronesian,ID
44,abaj1234,Abajeño Mexican Spanish,,dialect,Eurasia,,,glot,Indo-European,
45,abak1242,Abak,,dialect,Africa,,,glot,Atlantic-Congo,
46,abak1243,Abaka,,dialect,Papunesia,,,glot,Austronesian,
47,abal1238,Abaletti,,dialect,Papunesia,,,glot,yele1255,
48,abam1239,Abam,,dialect,Papunesia,,,glot,east2503,
49,aban1243,Abancay,,dialect,South America,,,glot,quec1387,
50,aban1242,Abanyom,abm,language,Africa,6.30619,8.63055,glot,Atlantic-Congo,NG
51,aban1245,Abanyom-Nkem-Nkum,,family,,,,glot,Atlantic-Congo,
52,abar1239,Abar,,dialect,Africa,,,glot,Atlantic-Congo,
53,abau1245,Abau,aau,language,Papunesia,-3.97222,141.324,glot,sepi1257,PG
54,abaw1238,Abawa,,dialect,Africa,,,glot,Atlantic-Congo,
55,foau1240,Abawiri,flh,language,Papunesia,-3.04582,139.213,glot,Lakes Plain,ID
56,abay1238,Abayongo,,dialect,Africa,,,glot,Atlantic-Congo,
57,abaz1241,Abaza,abq,language,Eurasia,44.25,42.0,glot,abkh1242,RU TR
58,abbe1238,Abbey-Ve,,dialect,Africa,,,glot,Atlantic-Congo,
59,abbr1238,Abbruzzesi,,dialect,Eurasia,,,glot,Indo-European,
60,abch1234,Abchuya'i,,dialect,Eurasia,,,glot,Indo-European,
61,abee1243,Abe (Anyin),,dialect,Africa,,,glot,Atlantic-Congo,
62,abed1238,Abedju-Azaki,,dialect,Africa,,,glot,cent2225,
63,abel1234,Abellen-Botolan,,family,,,,glot,Austronesian,
64,aben1250,Abenaki,,family,,,,glot,algi1248,
65,aben1247,Abeng,,dialect,Eurasia,,,glot,Sino-Tibetan,
66,aben1249,Abenlen Ayta,abp,language,Papunesia,15.4131,120.2,glot,Austronesian,PH
67,abgu1238,Abgue,,dialect,Africa,,,glot,Afro-Asiatic,
68,abid1235,Abidji,abi,language,Africa,5.65656,-4.58421,glot,Atlantic-Congo,CI
69,abie1238,Abiem,,dialect,Africa,,,glot,nilo1247,
70,abig1238,Abigar,,dialect,Africa,,,glot,nilo1247,
71,abil1238,Abiliang,,dialect,Africa,,,glot,nilo1247,
72,abin1242,Abini,,dialect,Africa,,,glot,Atlantic-Congo,
73,abin1243,Abinomn,bsa,language,Papunesia,-2.92281,138.891,glot,nan,ID
74,abip1241,Abipon,axb,language,South America,-29.0,-61.0,glot,guai1249,AR
75,abka1238,Abkar,,dialect,Africa,,,glot,maba1274,
76,abkh1244,Abkhaz,abk,language,Eurasia,43.056218,41.159115,glot,abkh1242,GE RU TR
77,abkh1243,Abkhaz-Abaza,,family,,,,glot,abkh1242,
78,abkh1242,Abkhaz-Adyge,,family,,,,glot,nan,
79,able1237,Ableg-Salegseg,,dialect,Papunesia,,,glot,Austronesian,
80,aboo1242,Abo,,dialect,Africa,,,glot,Atlantic-Congo,
81,aboo1241,Abo (Bokyi),,dialect,Africa,,,glot,Atlantic-Congo,
82,abob1234,Abo-Barombi,,family,,,,glot,Atlantic-Congo,
83,abom1238,Abom,aob,language,Papunesia,-8.42448,142.842,glot,anim1240,PG
84,abon1238,Abon,abo,language,Africa,6.90621,10.8769,glot,Atlantic-Congo,CM NG
85,abou1238,Abou Charib,,dialect,Africa,,,glot,tama1329,
86,abra1237,Abra-De-Ilog,,dialect,Papunesia,,,glot,Austronesian,
87,abro1238,Abron,abr,language,Africa,7.72094,-2.50289,glot,Atlantic-Congo,CI GH
88,abru1239,Abruzzese-Calabrian-Molisean Romani,,dialect,Eurasia,,,glot,Indo-European,
89,absh1238,Absheron,,dialect,Eurasia,,,glot,Indo-European,
90,abuu1241,Abu,ado,language,Papunesia,-4.24027,144.474,glot,lowe1437,PG
91,abus1238,Abu Sinun,,dialect,Africa,,,glot,kadu1256,
92,abua1245,Abu' Arapesh,aah,language,Papunesia,-3.461612,142.917031,glot,nucl1708,PG
93,abua1244,Abua,abn,language,Africa,4.83057,6.61492,glot,Atlantic-Congo,NG
94,abua1243,Abua-Odual,,family,,,,glot,Atlantic-Congo,
95,abui1241,Abui,abz,language,Papunesia,-8.31058,124.588,glot,timo1261,ID
96,abuj1237,Abujmaria,,dialect,Eurasia,,,glot,Dravidian,
97,abul1238,Abuldugu,,dialect,Africa,,,glot,nilo1247,
98,abun1252,Abun,kgr,language,Papunesia,-0.57073,132.416,glot,nan,ID
99,abun1253,Abun Je,,dialect,Papunesia,,,glot,abun1252,
100,abun1255,Abun Ji,,dialect,Papunesia,,,glot,abun1252,
101,abun1254,Abun Tat,,dialect,Papunesia,,,glot,abun1252,
102,abur1243,Abure,abu,language,Africa,5.21534,-3.64123,glot,Atlantic-Congo,CI
103,abur1244,Abureni,mgj,language,Africa,4.62301,6.50634,glot,Atlantic-Congo,NG
104,abuz1234,Abuzaydabadi,,dialect,Eurasia,,,glot,Indo-European,
105,abya1234,Abyane'i,,dialect,Eurasia,,,glot,Indo-European,
106,abzh1238,Abzhui,,dialect,Eurasia,,,glot,abkh1242,
107,abee1242,Abé,aba,language,Africa,5.59682,-4.38497,glot,Atlantic-Congo,CI
108,acad1238,Acadian,,dialect,Eurasia,,,glot,Indo-European,
109,acat1240,Acatepec,,dialect,North America,,,glot,otom1299,
110,acat1239,Acatepec Me'phaa,tpx,language,North America,17.1034,-99.0602,glot,otom1299,MX
111,acch1238,Acchami,,dialect,Eurasia,,,glot,Indo-European,
112,cham1327,Aceh-Chamic,,family,,,,glot,Austronesian,
113,achi1257,Acehnese,ace,language,Papunesia,3.90757,96.6032,glot,Austronesian,ID
114,acha1250,Achagua,aca,language,South America,4.38649,-72.2005,glot,araw1281,CO
115,acha1252,Achangic,,family,,,,glot,Sino-Tibetan,
116,ache1244,Ache,yif,language,Eurasia,24.152,102.446,glot,Sino-Tibetan,CN
117,ache1245,Acheron,acz,language,Africa,10.8827,30.3187,glot,narr1279,SD
118,ache1247,Acheron-Tocho,,family,,,,glot,narr1279,
119,achi1256,Achi,acr,language,North America,15.073,-90.3513,glot,maya1287,GT
120,achi1258,"Achi', Cubulco",acc,language,North America,,,glot,,
121,achi1247,Achik,,dialect,Eurasia,,,glot,Sino-Tibetan,
122,acht1238,Achterhoeks,act,dialect,Eurasia,52.021,6.47521,glot,Indo-European,DE NL
123,acht1239,Achterveld,,dialect,Africa,,,glot,Tuu,
124,achu1249,Achuar,,dialect,South America,,,glot,jiva1245,
125,achu1248,Achuar-Shiwiar,acu,language,South America,-2.82646,-77.2641,glot,jiva1245,EC PE
126,achu1247,Achumawi,acv,language,North America,41.0979,-121.191,glot,pala1350,US
127,ache1246,Aché,guq,language,South America,-25.5865,-56.4697,glot,Tupian,PY
128,acii1238,Aci,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
129,acod1234,Acodi,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
130,acol1236,Acoli,ach,language,Africa,3.57738,32.5147,glot,nilo1247,SS UG
131,acom1246,Acoma,,dialect,North America,,,glot,kere1287,
132,acro1240,Acrolectal Fiji English,,dialect,Eurasia,,,glot,Indo-European,
133,acro1239,Acroá,acs,language,South America,-12.594,-40.21445,glot,nucl1710,BR
134,adaa1238,Ada,,dialect,Africa,,,glot,Atlantic-Congo,
135,adab1235,Adabe,adb,language,Papunesia,-8.22674,125.576,glot,,
136,adae1234,Adaeseño Spanish,,dialect,Eurasia,,,glot,Indo-European,
137,adai1235,Adai,xad,language,North America,31.6314,-92.0059,glot,nan,US
138,adam1257,Adamawa Bua,,family,,,,glot,Atlantic-Congo,
139,adam1254,Adamawa Fali,,family,,,,glot,Atlantic-Congo,
140,adam1253,Adamawa Fulfulde,fub,language,Africa,8.140326,13.077338,glot,Atlantic-Congo,CM ER ET NG SD TD
141,adam1260,Adamawa-Bagirmi Fulfulde,,family,,,,glot,Atlantic-Congo,
142,adam1238,Adamorobe Sign Language,ads,language,Africa,5.834,-0.151,glot,,
143,adan1249,Adan,,dialect,Africa,,,glot,Atlantic-Congo,
144,adan1251,Adang,adn,language,Papunesia,-8.18958,124.448,glot,timo1261,ID
145,adan1250,Adang (Lundayeh),,dialect,Papunesia,,,glot,Austronesian,
146,adan1252,Adang-Hamap-Kabola,,family,,,,glot,timo1261,
147,adan1248,Adangbe,adq,language,Africa,6.50546,0.727155,glot,Atlantic-Congo,GH TG
148,adan1247,Adangme,ada,language,Africa,5.9437,0.13243,glot,Atlantic-Congo,GH
149,adap1234,Adap,adp,language,Eurasia,27.141,90.3369,glot,,
150,adar1242,Adarawa,,dialect,Africa,,,glot,Afro-Asiatic,
151,adas1235,Adasen,tiu,language,Papunesia,17.8187,120.905,glot,Austronesian,PH
152,addi1234,Addis Ababa Ethiopian Sign Language,,dialect,Africa,,,glot,,
153,adel1244,Adele,ade,language,Africa,8.16975,0.619185,glot,Atlantic-Congo,GH TG
154,aden1241,Adeni,,dialect,Eurasia,,,glot,Afro-Asiatic,
155,ader1239,Aderawa,,dialect,Africa,,,glot,Afro-Asiatic,
156,adew1237,Adewada,,dialect,Eurasia,,,glot,Dravidian,
157,adga1237,Adgawan,,dialect,Papunesia,,,glot,Austronesian,
158,adha1237,Adham,,dialect,Eurasia,,,glot,Austronesian,
159,adha1238,Adhari,,language,Eurasia,40.05,48.06,glot,Indo-European,AZ
160,tati1243,Adharic,,family,,,,glot,Indo-European,
161,adho1243,Adhola,adh,language,Africa,0.73235,34.0341,glot,nilo1247,KE UG
162,adho1241,Adhola-Alur-Luo,,family,,,,glot,nilo1247,
163,adho1242,Adhola-Luo,,family,,,,glot,nilo1247,
164,adid1237,Adi Dravida,,dialect,Eurasia,,,glot,Dravidian,
165,adib1240,Adibom,,dialect,Africa,,,glot,Atlantic-Congo,
166,adie1238,Adie,,dialect,Africa,,,glot,Atlantic-Congo,
167,adih1238,Adihup,,dialect,Papunesia,,,glot,hata1242,
168,adij1237,Adijaya,,dialect,Papunesia,,,glot,Austronesian,
169,adim1238,Adim,,dialect,Africa,,,glot,Atlantic-Congo,
170,adio1239,Adioukrou,adj,language,Africa,5.38228,-4.52522,glot,Atlantic-Congo,CI
171,adiv1238,Adivasi Wagdi,,dialect,Eurasia,,,glot,Indo-European,
172,adiw1235,Adiwasi Garasia,gas,language,Eurasia,24.0712,73.1426,glot,Indo-European,IN
173,adiy1237,Adiya,,dialect,Eurasia,,,glot,Dravidian,
174,adja1238,Adjabdurah,,dialect,Australia,,,glot,Pama-Nyungan,
175,adju1239,Adjumani,,dialect,Africa,,,glot,cent2225,
176,adku1239,Adkuri,,dialect,Eurasia,,,glot,Indo-European,
177,admi1239,Admiralty Islands,,family,,,,glot,Austronesian,
178,adny1235,Adnyamathanha,adt,language,Australia,-30.1451,138.671,glot,Pama-Nyungan,AU
179,adoo1237,Ado,,dialect,Papunesia,,,glot,Austronesian,
180,adom1238,Adoma,,dialect,Africa,,,glot,Atlantic-Congo,
181,adon1237,Adonara,adr,language,Papunesia,-8.32027,123.159,glot,Austronesian,ID
182,adoy1238,Adoyo,,dialect,Africa,,,glot,nilo1247,
183,aduu1238,Adu,,dialect,Papunesia,,,glot,nort2923,
184,adug1238,Aduge,adu,language,Africa,7.64567,6.13085,glot,,
185,adun1238,Adun,,dialect,Africa,,,glot,Atlantic-Congo,
186,adur1234,Adurgari,,language,Eurasia,33.79,69.32,glot,spee1234,AF
187,adyg1241,Adyghe,ady,language,Eurasia,44.0,39.33,glot,abkh1242,IL JO RU SY TR
188,adze1240,Adzera,adz,language,Papunesia,-6.39394,146.294,glot,Austronesian,PG
189,adze1241,Adzera (Retired),azr,language,,,,glot,,
190,adzh1238,Adzhar,,dialect,Eurasia,,,glot,kart1248,
191,aegi1237,Aegina,,dialect,Eurasia,,,glot,Indo-European,
192,aeka1244,Aeka,aez,language,Papunesia,-8.855095,147.99477,glot,Nuclear Trans New Guinea,PG
193,aeky1238,Aekyom,awi,language,Papunesia,-5.88478,141.532,glot,kamu1264,PG
194,aeol1234,Aeolic,,dialect,Eurasia,,,glot,Indo-European,
195,aequ1239,Aequian,,dialect,Eurasia,,,glot,Indo-European,
196,aerr1238,Aer,aeq,language,Eurasia,25.254,69.029,glot,Indo-European,PK
197,abis1238,Aewa,ash,language,South America,-1.284096,-75.084405,glot,nan,PE
198,aewa1238,Aewa (Western Province),,dialect,Papunesia,,,glot,anim1240,
199,afas1238,Af-Ashraaf,,dialect,Africa,,,glot,Afro-Asiatic,
200,afhe1238,Af-Helledi,,dialect,Africa,,,glot,Afro-Asiatic,
201,afaa1238,Afa,,dialect,Africa,,,glot,Atlantic-Congo,
202,afad1236,Afade,aal,language,Africa,12.0551,14.6343,glot,Afro-Asiatic,CM NG
203,afar1241,Afar,aar,language,Africa,12.2281,41.8083,glot,Afro-Asiatic,DJ ER ET
204,afen1234,Afenmai-Bendel,,family,,,,glot,Atlantic-Congo,
205,affa1240,Affade,,dialect,Africa,,,glot,Afro-Asiatic,
206,affi1239,Affiniam,,dialect,Africa,,,glot,Atlantic-Congo,
207,afgh1239,Afghan Sign Language,afg,language,Eurasia,34.434167,70.447778,glot,,
208,afgh1241,Afghanistan Balochi,,dialect,Eurasia,,,glot,Indo-European,
209,afgh1240,Afghanistan Gorbat,,language,Eurasia,,,glot,mixe1287,AF
210,afgh1238,Afghanistan-Uzbekistan Arabic,,family,,,,glot,Afro-Asiatic,
211,afik1238,Afikpo,,dialect,Africa,,,glot,Atlantic-Congo,
212,afit1238,Afitti,aft,language,Africa,12.446,30.7611,glot,nyim1244,SD
213,afor1239,Afore,,dialect,Papunesia,,,glot,koia1260,
214,afri1276,African American Vernacular English,,dialect,Eurasia,,,glot,Indo-European,
215,afri1271,Afridi,,dialect,Eurasia,,,glot,Indo-European,
216,afri1275,Afrihili,afh,language,Africa,,,glot,,
217,afri1274,Afrikaans,afr,language,Africa,-22.0,30.0,glot,Indo-European,BW MZ NA ZA ZM ZW
218,afri1273,Afrikaansic,,family,,,,glot,Indo-European,
219,afri1272,Afrike,,dialect,Africa,,,glot,Atlantic-Congo,
220,afro1255,Afro-Asiatic,,family,,,,glot,nan,
221,afro1254,Afro-Seminole Creole,afs,language,North America,31.7843,-99.2934,glot,Indo-European,MX US
222,afsh1238,Afshari,,dialect,Eurasia,,,glot,Turkic,
223,afsh1239,Afsharic,,dialect,Eurasia,,,glot,Turkic,
224,afta1234,Aftari,,dialect,Eurasia,35.36,53.7,glot,Indo-European,
225,afud1235,Afudu,,language,Africa,9.831149,11.296849,glot,Atlantic-Congo,NG
226,agaa1241,Aga,,dialect,Eurasia,,,glot,Mongolic-Khitan,
227,agal1241,Agalo,,dialect,Africa,,,glot,gumu1250,
228,agam1238,Agam,,dialect,Papunesia,,,glot,Austronesian,
229,agan1234,Agan,,dialect,Eurasia,,,glot,Uralic,
230,agan1235,Agan Nenets,,dialect,Eurasia,,,glot,Uralic,
231,agar1249,Agar,,dialect,Africa,,,glot,nilo1247,
232,agar1252,Agarabi,agd,language,Papunesia,-6.20604,145.917,glot,Nuclear Trans New Guinea,PG
233,agar1250,Agari of Kolaba,,dialect,Eurasia,,,glot,Indo-European,
234,agar1251,Agariya,agi,language,Eurasia,24.5024,82.297,glot,,
235,agat1236,Agatu,agc,language,Africa,7.97915,7.71639,glot,Atlantic-Congo,NG
236,agau1239,Agaunshe,,dialect,Africa,,,glot,Atlantic-Congo,
237,agav1236,Agavotaguerra,avo,language,South America,-13.29849,-53.43936,glot,,
238,cent2193,Agaw,,family,,,,glot,Afro-Asiatic,
239,agay1235,Agayop,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
240,agba1238,Agbarho,,dialect,Africa,,,glot,Atlantic-Congo,
241,agbi1234,Agbirigba,,language,Africa,,,glot,spee1234,NG
242,agbo1241,Agbome,,dialect,Africa,,,glot,Atlantic-Congo,
243,agbo1242,Agbon,,dialect,Africa,,,glot,Atlantic-Congo,
244,agee1238,Ageer,,dialect,Africa,,,glot,nilo1247,
245,aghe1239,Aghem,agq,language,Africa,6.38956,10.0807,glot,Atlantic-Congo,CM
246,aghe1241,Aghem-Weh,,family,,,,glot,Atlantic-Congo,
247,aghe1240,Aghemic,,family,,,,glot,Atlantic-Congo,
248,agho1238,Agholo,,dialect,Africa,,,glot,Atlantic-Congo,
249,aghu1255,Aghu,ahh,language,Papunesia,-6.34674,140.043,glot,Nuclear Trans New Guinea,ID
250,aghu1254,Aghu Tharnggalu,ggr,language,Australia,-13.735,142.426,glot,Pama-Nyungan,AU
251,aghu1256,Aghu Tharnggalu (Retired),gtu,language,Australia,-15.0,144.0,glot,,
252,aghu1253,Aghul,agx,language,Eurasia,41.9242,47.5843,glot,nakh1245,AZ RU
253,aghu1259,Aghul-Lezgi,,family,,,,glot,nakh1245,
254,aghw1237,Aghwan,xag,language,Eurasia,40.374444,47.126667,glot,nakh1245,AZ
255,agii1245,Agi,aif,language,Papunesia,-3.49104,142.387,glot,nucl1708,PG
256,agii1244,Agi (Moru),,dialect,Africa,,,glot,cent2225,
257,agiy1234,Agi-Yeri,,family,,,,glot,nucl1708,
258,agne1238,Agneby,,family,,,,glot,Atlantic-Congo,
259,agoa1234,Agoan,,family,,,,glot,lowe1437,
260,agob1244,Agob-Ende-Kawam,kit,language,Papunesia,-9.08521,142.532,glot,paho1240,PG
261,agoi1246,Agoi,ibm,language,Africa,5.87953,8.21629,glot,Atlantic-Congo,NG
262,agoi1244,Agoi (Gen),,dialect,Africa,,,glot,Atlantic-Congo,
263,agoi1245,Agoi-Doko-Iyoniyong,,family,,,,glot,Atlantic-Congo,
264,agon1238,Agona,,dialect,Africa,,,glot,Atlantic-Congo,
265,agra1238,Agrab,,dialect,Africa,,,glot,Afro-Asiatic,
266,agta1234,Agta-Pahanan,apf,language,Papunesia,17.0538,122.2802,glot,Austronesian,PH
267,aguu1241,Agu,,dialect,Eurasia,,,glot,Sino-Tibetan,
268,aguu1242,Agu (Ewe),,dialect,Africa,,,glot,Atlantic-Congo,
269,agua1252,Aguacateco,agu,language,North America,15.3307,-91.3153,glot,maya1287,GT
270,agua1251,Aguano,aga,language,South America,-5.25,-75.8333,glot,,
271,agua1254,Aguarico,,dialect,South America,,,glot,cofa1242,
272,agua1253,Aguaruna,agr,language,South America,-5.30044,-77.9218,glot,jiva1245,PE
273,aguf1237,Agufi,,dialect,Papunesia,,,glot,Austronesian,
274,agul1244,Agul,,dialect,Eurasia,,,glot,nakh1245,
275,agul1243,Agulis,,dialect,Eurasia,,,glot,Indo-European,
276,agul1245,Agulis-Meghri,,dialect,Eurasia,,,glot,Indo-European,
277,agun1238,Aguna,aug,language,Africa,7.49256,1.74452,glot,Atlantic-Congo,BJ TG
278,aguo1238,Aguok,,dialect,Africa,,,glot,nilo1247,
279,agus1235,Agusan Manobo,msm,language,Papunesia,8.62731,125.742,glot,Austronesian,PH
280,agut1237,Agutaynen,agn,language,Papunesia,10.5328,119.655,glot,Austronesian,PH
281,agwa1247,Agwagwune,yay,language,Africa,5.81055,8.03166,glot,Atlantic-Congo,NG
282,agwa1246,Agwatashi,,dialect,Africa,,,glot,Atlantic-Congo,
283,agob1245,Agöb,,dialect,Papunesia,,,glot,paho1240,
284,ahaf1238,Ahafo,,dialect,Africa,,,glot,Atlantic-Congo,
285,ahan1243,Ahanta,aha,language,Africa,4.85147,-1.94657,glot,Atlantic-Congo,GH
286,ahea1240,Ahe,ahe,language,,,,glot,,
287,ahea1235,Aheave,,dialect,Papunesia,,,glot,nucl1580,
288,ahei1238,Aheima,,dialect,Africa,,,glot,narr1279,
289,aher1237,Aheri,,dialect,Eurasia,,,glot,Dravidian,
290,ahin1234,Ahin-Kayapa Kalanguya,kak,language,Papunesia,16.321,120.90003,glot,Austronesian,PH
291,ahir1243,Ahirani,ahr,language,Eurasia,21.552,73.685,glot,,
292,ahir1242,Ahiri,,dialect,Eurasia,,,glot,Indo-European,
293,ahom1240,Ahom,aho,language,Eurasia,27.2778,88.464,glot,taik1256,IN
294,ahou1236,Ahouic,,family,,,,glot,taik1256,
295,ahte1237,Ahtena,aht,language,North America,61.7068,-144.889,glot,atha1245,US
296,ahua1238,Ahuatempan Popoloca,,dialect,North America,,,glot,otom1299,
297,ahva1234,Ahvazi,,dialect,Eurasia,,,glot,Indo-European,
298,ahwa1239,Ahwaz,,dialect,Eurasia,,,glot,Afro-Asiatic,
299,aial1237,Ai'alu,,dialect,Papunesia,,,glot,Austronesian,
300,aich1238,Ai-Cham,aih,language,Eurasia,25.4908,107.844,glot,taik1256,CN
301,aian1241,Aian,,family,,,,glot,lowe1437,
302,aibo1237,Aibondeni,,dialect,Papunesia,,,glot,Austronesian,
303,aiew1238,Aiewomba,,dialect,Papunesia,,,glot,anga1289,
304,aigh1235,Aighon,aix,language,Papunesia,-5.99488,150.272,glot,Austronesian,PG
305,aigo1239,Aigon,,dialect,Papunesia,,,glot,Austronesian,
306,aigu1239,Aigun,,dialect,Eurasia,,,glot,tung1282,
307,aika1237,Aikanã,tba,language,South America,-12.6695,-60.5353,glot,nan,BR
308,aikl1237,Aiklep,mwg,language,Papunesia,-6.23575,149.571,glot,Austronesian,PG
309,aiko1237,Aikoa,,dialect,Papunesia,,,glot,Austronesian,
310,aiku1240,Aiku,mzf,language,,,,glot,,
311,aima1241,Aimaq,aiq,language,Eurasia,35.283,59.1756,glot,Indo-European,AF IR
312,aima1242,Aimara,,dialect,Africa,,,glot,kuna1268,
313,aime1238,Aimele,ail,language,Papunesia,-6.68656,142.656,glot,bosa1245,PG
314,aimo1244,Aimol,aim,language,Eurasia,24.6437,94.3556,glot,Sino-Tibetan,IN NP
315,aimo1247,Aimol-Syriem,,family,,,,glot,Sino-Tibetan,
316,aimo1245,Aimoli,,dialect,Papunesia,,,glot,timo1261,
317,aimo1246,Aimore,,family,,,,glot,nucl1710,
318,ainb1238,Ainbai,aic,language,Papunesia,-3.09214,141.149,glot,bord1247,PG
319,ainu1252,Ainu,,family,,,,glot,nan,
320,ainu1251,Ainu (China),aib,language,Eurasia,39.2714,76.4209,glot,Turkic,CN
321,aiom1240,Aiome,aki,language,Papunesia,-5.13467,144.765,glot,lowe1437,PG
322,airr1242,Air (Berber),,dialect,Africa,,,glot,Afro-Asiatic,
323,airm1240,Air Mata,,dialect,Papunesia,,,glot,Austronesian,
324,aird1238,Aird Hills,,dialect,Papunesia,,,glot,kibi1239,
325,airm1241,Airmadidi,,dialect,Papunesia,,,glot,Austronesian,
326,airo1242,Airoran,air,language,Papunesia,-1.8522,138.158,glot,kwer1242,ID
327,airy1239,Airym,,dialect,Eurasia,,,glot,Turkic,
328,musa1266,Aisi,mmq,language,Papunesia,-5.37407,145.197,glot,Nuclear Trans New Guinea,PG
329,aisi1234,Aisian,,family,,,,glot,Nuclear Trans New Guinea,
330,aita1238,Aita,,dialect,Papunesia,,,glot,nort2933,
331,aito1238,Aiton,aio,language,Eurasia,26.5145,92.3169,glot,taik1256,IN
332,aitu1237,Aitutaki,,dialect,Papunesia,,,glot,Austronesian,
333,aiya1239,Aiyangar,,dialect,Eurasia,,,glot,Dravidian,
334,aiya1240,Aiyar,,dialect,Eurasia,,,glot,Dravidian,
335,aiye1241,Aiyegunle,,dialect,Africa,,,glot,Atlantic-Congo,
336,aizi1248,Aizi,,family,,,,glot,krua1234,
337,aizu1241,Aizu,,dialect,Eurasia,,,glot,Japonic,
338,ajab1235,Aja (Benin),ajg,language,Africa,7.06634,1.64992,glot,Atlantic-Congo,BJ TG
339,ajas1235,Aja (South Sudan),aja,language,Africa,8.58003,25.6122,glot,kres1240,SS
340,ajam1240,Ajam,,dialect,Papunesia,,,glot,Nuclear Trans New Guinea,
341,ajaw1236,Ajawa,ajw,language,Africa,10.21,9.89205,glot,Afro-Asiatic,NG
342,ajee1238,Aje,,dialect,Africa,,,glot,Atlantic-Congo,
343,ajir1238,Ajiri of Hazara,,dialect,Eurasia,,,glot,Indo-European,
344,ajiw1238,Ajiw,,dialect,Papunesia,,,glot,mpur1239,
345,ajie1238,Ajië,aji,language,Papunesia,-21.3029,165.468,glot,Austronesian,NC
346,ajra1238,Ajra,,dialect,Africa,,,glot,Atlantic-Congo,
347,ajug1238,Ajugu,,dialect,Africa,,,glot,cent2225,
